sourse,date,title,link,summary
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,After We Collided - Roger Kumble,https://itunes.apple.com/us/movie/after-we-collided/id1526853610?uo=2,"In this second installment based on the worldwide bestseller After, we follow Tessa’s intense breakup and its aftermath. Will love overcome the past?"
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,Love and Monsters - Michael Matthews,https://itunes.apple.com/us/movie/love-and-monsters/id1533484086?uo=2,"Dylan O’Brien stars in this thrilling adventure delivering epic action and laughs. After monsters take over the world, Joel (O’Brien, The Maze Runner) and the rest of humanity are forced to live underground. Believing he’s lost everyone he has ever loved, Joel finds his high school sweetheart Aimee (Jessica Henwick, “Game of Thrones”) living just 85 miles away. Facing unknown dangers that stand in his way, Joel must discover his inner hero as he makes the impossible journey across a monster-infested land to be with the girl of his dreams. Also starring Michael Rooker (Guardians of the Galaxy) and Ariana Greenblatt (Avengers: Infinity War)."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,Ava (2020) - Tate Taylor,https://itunes.apple.com/us/movie/ava-2020/id1525636290?uo=2,"Ava (Jessica Chastain) is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,The Phenomenon - James Fox,https://itunes.apple.com/us/movie/the-phenomenon/id1528219444?uo=2,"Director James Fox’s explosive documentary is being hailed as the most credible and revealing film ever made about the long-standing global cover-up and mystery involving unidentified aerial phenomenon. Including shocking never-before-seen testimony from high-ranking government and military officials, NASA Astronauts, and riveting footage, the timely film includes bombshell reveals about UAP incursions at nuclear weapon facilities, and the monumental events behind the NY Times’ recent disclosure of UFO videos and The Pentagon’s classified UFO program. Providing eye-opening evidence that mankind is not alone in the universe, Senator Harry Reid says, “The Phenomenon makes the incredible credible.”Former Senior CIA Officer Jim Semivan, calls it “The most important documentary of the year.” Dr. Jacques Vallee says “70 years of secrecy has led to this. The most credible documentary ever made about UFOs.” Lue Elizondo, Former Director of the Pentagon’s Advanced Aerospace Threat Identification Program (AATIP), says ""The Phenomenon sets a new benchmark for disclosure and is the most accurate and informative documentary ever made about UAPs.”Narrated by Peter Coyote (E.T), the film includes Senator Harry Reid, President Clinton, John Podesta, White House Chief of Staff for Clinton and advisor to Obama, Governor Bill Richardson, former U.S Department of Defense Senior Intelligence Official, Christopher Mellon, NASA Astronauts, Governor Fife Symington, Dr. Garry Nolan, Dr. Jacques Vallee, who was portrayed in Steven Spielberg’s Close Encounters of the Third Kind, and more."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,Friendsgiving - Nicol Paone,https://itunes.apple.com/us/movie/friendsgiving/id1532859538?uo=2,"Abby (Kat Dennings) is looking forward to a laid-back Thanksgiving with her best friend Molly (Malin Akerman). But the friends' plans for a quiet turkey dinner go up in smoke when they're joined by Molly's new boyfriend and her flamboyant mother (Jane Seymour). Throw in some party crashers including Molly's old flame, a wannabe shaman, and a trio of Fairy Gay Mothers (Wanda Sykes, Margaret Cho, and Fortune Feimster), and it's a recipe for a comically chaotic holiday no one will ever forget—even if they wanted to!"
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,Beetlejuice - Tim Burton,https://itunes.apple.com/us/movie/beetlejuice/id282447504?uo=2,"A couple of nice homebody ghosts, trying to rid their house of afamily of trendsetting human beings, is hell-bent on making their home unlivable -- even for the dead."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,The Way I See It - Dawn Porter,https://itunes.apple.com/us/movie/the-way-i-see-it/id1534676512?uo=2,"Inspired by the New York Times #1 bestseller comes Dawn Porter's The Way I See It, an unprecedented look behind the scenes of two of the most iconic Presidents in American History, Barack Obama and Ronald Reagan, as seen through the eyes of renowned photographer Pete Souza. As Official White House Photographer, Souza was an eyewitness to the unique and tremendous responsibilities of being the most powerful person on Earth. The movie reveals how Souza transforms from a respected photojournalist to a searing commentator on the issues we face as a country and a people."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,Halloween (2018) - David Gordon Green,https://itunes.apple.com/us/movie/halloween-2018/id1438044209?uo=2,"Jamie Lee Curtis returns to her iconic role as Laurie Strode, who comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,"Trump Card (2020) - Dinesh D'Souza, Bruce Schooley & Debbie D'souza",https://itunes.apple.com/us/movie/trump-card-2020/id1531547328?uo=2,"A specter is haunting America—the specter of socialism. At first glance, this seems incredible. The twentieth century is seen as the century in which capitalism defeated socialism. Socialist regimes collapsed around the world. Today socialism is confined to failing societies such as Cuba, North Korea, and Venezuela. Yet leading candidates and media figures are enthusiastic about moving America toward socialism. They have a raft of proposals for doing this: Medicare for all, universal basic income, free college, and the Green New Deal. This movie will expose the ideology and tactics of the new socialism. It will explain the temptation of socialism—an age of abundance in which we all get something for nothing—and show why the socialist society is a mirage. Socialism produces deprivation, conformity, and tyranny. More than a critique of socialism, the movie will also make a moral defense of capitalism and show how capitalism, not socialism, is the best way to have prosperity and social justice. Narrated by Dinesh D’Souza and featuring eye-opening interviews, dramatic recreations, and comical animated illustrations, this film will be a timely, riveting, and entertaining look at the biggest issue dividing America today."
iTunes Store: Top Movies,2020-10-26T13:06:43-07:00,Ghostbusters - Ivan Reitman,https://itunes.apple.com/us/movie/ghostbusters/id532285804?uo=2,"A trio of university parasychologists lose their research grant and decide to open their own business, ""Ghostbusters,"" and almost at once are summoned to investigate the strange happenings in a Central Park West apartment. What they discover is that all Manhattan is being besieged by other worldly demons."
BBC News - World,"Mon, 26 Oct 2020 20:41:12 GMT",Covid: Belgian doctors with coronavirus asked to keep working,https://www.bbc.co.uk/news/world-europe-54688846,"A top doctor tells the BBC they had no choice, to avoid the hospital system collapsing within days."
BBC News - World,"Mon, 26 Oct 2020 20:41:12 GMT",Syria war: 'Russian air strikes kill dozens' in Idlib,https://www.bbc.co.uk/news/world-middle-east-54693472,"More than 50 people reportedly die in the attack, which puts at risk a ceasefire in the area."
BBC News - World,"Mon, 26 Oct 2020 20:41:12 GMT",Vice-President Mike Pence to miss Trump Supreme Court vote,https://www.bbc.co.uk/news/election-us-2020-54693599,"Amy Coney Barrett is expected to be confirmed to the Supreme Court, just days before the election."
BBC News - World,"Mon, 26 Oct 2020 20:41:12 GMT",Poland abortion ruling: Protesters block roads across country,https://www.bbc.co.uk/news/world-europe-54694968,Traffic is disrupted in dozens of cities in protests against a court's near-total ban on abortion.
BBC News - World,"Mon, 26 Oct 2020 20:41:12 GMT",Pakistan's first metro line opens to passengers in Lahore,https://www.bbc.co.uk/news/world-asia-54692488,The Chinese-built line will slash journey times across the notoriously congested city by two thirds.
BBC News - World,"Mon, 26 Oct 2020 20:41:12 GMT",Stock markets slide as Covid-19 cases rise,https://www.bbc.co.uk/news/business-54694956,The Dow falls as much as 3.3% before ending down 2.3% - its sharpest decline in weeks.
